〆	sime
脂	yani
脆	moro
脇	waki
脈	myaku
脚	asi
脚	kyaku
脛	hagi
脛	sune
脩	hisasi
脩	naga
脩	osamu
脩	syuu
脱	dat
脱	datu
脳	nou
腋	waki
腎	zin
腐	kusa
腑	hu
腓	kobura
腓	komura
腕	kaina
腕	ude
腥	namagusa
腫	syu
腰	gosi
腰	kosi
腱	ken
腸	harawata
腸	tyou
腹	hara
腺	sen
腿	momo
膏	abura
膕	hikagami
膚	hada
膚	hadae
膜	maku
膝	hiza
膠	nikawa
膣	titu
膳	zen
膾	namasu
膿	nou
膿	umi
臀	siri
臂	hizi
臆	oku
臍	heso
臍	hozo
臑	sune
臣	sin
臥	ga
臧	zou
臨	nozomu
臨	rin
自	zi
臭	kusa
臭	nioi
臭	syuu
至	ita
至	itari
至	itaru
臻	itaru
臼	usu
舅	syuuto
與	atae
興	koo
興	kou
興	kyou
興	oki
舌	sita
舎	sya
舐	nebu
舒	zyo
舘	date
舘	tate
舘	tati
舘	yakata
舛	masu
舜	syun
舞	mai
舟	huna
舟	hune
航	kou
航	wataru
舳	he
舳	ziku
舵	kazi
舷	gen
舷	hunabata
船	bune
船	huna
船	hune
船	sen
艀	hasike
艇	tei
艘	sou
艦	kan
艫	tomo
艮	usitora
良	hazime
良	makoto
良	masaru
良	ryou
良	tukasa
良	yo
良	yosi
色	iro
色	syoku
艶	en
艶	tuya
艶	yosi
艷	ade
艷	tuya
艾	ai
艾	mogusa
艾	yomogi
芋	imo
芒	susuki
芙	hasu
芝	siba
芥	akuta
芥	gomi
芦	asi
芯	sin
花	hana
芳	hou
芳	kahoru
芳	kaori
芳	kaoru
芳	yosi
芸	gei
芹	kin
芹	seri
芽	me
苅	kari
苑	en
苑	on
苑	sono
苓	rei
苔	koke
苗	nae
苞	tuto
若	waka
苦	ku
苦	niga
苧	karamusi
苧	o
苫	toma
英	ei
英	hana
英	hanabusa
英	hide
英	hidesi
英	hirosi
英	igirisu
英	masaru
英	sakae
英	suguru
英	takesi
英	yungu
苺	itigo
茂	sige
茂	sigeru
茄	nasu
茅	kaya
茎	kuki
茜	akane
茜	sei
茜	sen
茨	ibara
茵	sitone
茶	tya
茸	kinoko
茸	take
草	kusa
草	sou
荒	ara
荘	sou
荘	syou
荷	ni
荻	ogi
荻	oogi
莅	nozoki
莉	rei
莓	itigo
莞	hutoi
莟	tubomi
莢	saya
莨	tabako
莫	hirosi
菅	kan
菅	suga
菅	suge
菊	kiku
菌	kin
菌	kinoko
菖	syou
菘	suzuna
菜	na
菜	sai
菟	usagi
菫	sumire
華	hana
華	hua
華	ka
菰	komo
菱	bisi
菱	hisi
萃	atumu
萌	hazime
萌	megumu
萌	moe
萍	pingu
萍	taira
萠	megumi
萠	megumu
萠	moe
萩	hagi
萬	ban
萬	yorozu
萱	kaya
萼	gaku
落	oti
葉	ba
葉	ha
葉	you
葎	mugura
葎	ritu
著	siru
著	tyo
葛	kazura
葛	kuzu
葛	tudura
葛	tuzura
董	tadasi
董	tadasu
葦	asi
葦	yosi
葬	hahu
葬	houmu
葬	sou
葭	kaya
葭	yosi
葱	negi
葵	aoi
葵	gi
葵	ki
葵	mamoru
蒋	syou
蒋	zyan
蒔	maki
蒙	koumu
蒙	kura
蒜	hiru
蒲	gama
蒲	kaba
蒲	kabano
蒼	ao
蒼	aoi
蒼	sou
蓆	musiro
蓉	hiro
蓉	you
蓋	buta
蓋	huta
蓍	medogi
蓑	mino
蓙	goza
蓬	yomogi
蓮	hasu
蓮	hatisu
蓮	ren
蓼	tade
蔀	sitomi
蔓	turu
蔕	heta
蔕	hozo
蔟	mabusi
蔣	zyan
蔦	tuta
蔭	kage
蔵	kura
蔵	zou
蕃	sigeru
蕊	sibe
蕊	zui
蕋	sibe
蕎	soba
蕗	huki
蕨	warabi
蕪	kabu
蕪	kabura
蕾	tubomi
薄	susuki
薄	usu
薄	usuki
薇	uei
薇	zenmai
薊	azami
薑	hazikami
薔	syou
薗	sono
薙	nagi
薛	setu
薦	komo
薪	maki
薪	takigi
薫	kao
薫	kaori
薫	kaoru
薫	tutomu
薬	gusuri
薬	kusuri
薬	yaku
薮	yabu
薯	imo
薹	tou
薺	nazuna
藁	wara
藍	ai
藍	ran
藏	kura
藜	akaza
藝	gei
藤	huzi
藤	tou
藩	han
藪	yabu
藷	imo
藹	sigeru
藺	i
藺	ino
藻	mo
蘂	sibe
蘆	asi
蘆	yosi
蘇	ikeru
蘇	so
蘇	yomigae
蘖	hikobae
蘭	araragi
蘭	ran
虎	tora
虔	hitosi
虔	ken
虚	kyo
虚	uro
虜	toriko
虞	osore
虫	musi
虫	tyuu
虱	sirami
虹	gu
虹	kou
虹	nizi
虻	abu
蚊	ka
蚋	buto
蚋	buyo
蚋	buyu
蚕	kaiko
蚕	ko
蚤	nomi
蚫	awabi
蛆	uzi
蛇	hebi
蛇	kutinawa
蛇	zya
蛍	hotaru
蛍	kei
蛎	kaki
蛙	kaeru
蛙	kawazu
蛟	mizuti
蛤	hamaguri
蛭	hiru
蛮	ban
蛯	ebi
蛸	tako
蛹	sanagi
蛻	monuke
蛾	ga
蜀	syoku
蜂	hati
蜆	sizimi
蜑	ama
蜜	mitu
蜩	higurasi
蜩	kanakana
蜷	nina
蝉	semi
蝋	rou
蝗	batta
蝗	inago
蝦	ebi
蝨	sirami
蝮	mamusi
蝶	tyou
蝶	zyou
蝿	hae
融	tooru
螢	hotaru
螢	kei
螺	nezi
螺	nisi
蟇	hiki
蟇	hikigaeru
蟠	wadakama
蟬	semi
蟹	kani
蟻	ari
蠅	hae
蠍	sasori
蠟	rou
蠣	kaki
血	ti
衆	oo
衆	syuu
行	aruki
行	gyou
行	iki
行	kou
行	kudari
行	namekata
行	yuki
術	sube
術	tedate
術	zyutu
街	gai
街	mati
衛	mamoru
衞	mamoru
衡	hakaru
衣	i
衣	kinu
衣	koromo
表	hyou
表	omote
衽	okumi
衾	husuma
衿	eri
袁	en
袂	tamoto
袋	bukuro
袋	hukuro
袋	pukuro
袍	hou
袖	sode
被	hi
被	kabu
被	koumu
袴	hakama
袵	okumi
袷	awase
袿	utigi
裁	sai
裃	kamisimo
裄	yuki
装	sou
裏	ri
裏	ura
裕	hiro
裕	hirosi
裕	yutaka
裕	yuu
補	ho
裡	ura
裡	uti
裳	mo
裸	hadaka
製	sei
裾	suso
褄	tuma
複	huku
褌	hundosi
褥	sitone
褻	ke
襄	noboru
襄	yuzuru
襄	zyou
襖	husuma
襞	hida
襟	eri
襠	mati
襲	kasane
襲	osoi
襷	tasuki
西	nisi
西	syal
要	i
要	kaname
要	you
覆	kutugae
覇	ha
見	mi
見	miru
規	tadasi
視	mi
視	si
覚	akira
覚	sato
覚	satoru
覚	satosi
覧	masaru
覧	mi
覧	ran
親	oya
親	sin
親	tika
親	tikasi
観	kan
観	mi
覺	satoru
覽	mi
觀	mi
角	kado
角	kaku
角	sumi
角	tuno
解	kai
触	sawa
言	gen
言	koto
訂	tei
訃	hu
計	hakaru
計	kei
訓	isao
訓	kun
訓	satoru
訓	satosi
託	taku
記	ki
訛	namari
訝	ibuka
許	kyo
許	moto
訳	wake
訳	yaku
診	mi
証	akasi
証	isamu
証	syou
詔	mikotonori
評	hyou
詛	noroi
詞	kotoba
詞	si
詠	ei
詢	makoto
詣	ita
詣	mai
詩	si
詩	uta
詫	wabi
詮	akira
詮	sen
詰	tume
詰	tumi
話	ba
話	banasi
話	hanasi
話	pa
話	wa
該	gai
詳	akira
誂	aturae
誇	hoko
誉	homare
誉	taka
誌	si
認	mitomu
誓	sei
誓	tikai
誕	zyou
語	go
語	katari
誠	makoto
誠	sei
誤	ayama
誤	go
説	setu
読	doku
読	satoru
誰	dare
誰	tare
課	ka
誹	sosi
誼	yosimi
調	mamoru
調	mitugi
調	sirabe
調	tyou
諄	kudo
諄	zyun
談	dan
諍	isakai
諒	ryou
論	osamu
論	ron
論	satosi
諡	okurina
諦	akira
諦	tai
諭	satoru
諭	satosi
諮	haka
諱	imina
諸	moro
諸	syo
諺	kotowaza
諾	daku
謀	hakarigoto
謂	ii
謄	takasi
謎	nazo
謗	sosi
謙	herikuda
謙	ken
謙	nori
謙	yuzuru
講	kou
謝	sya
謡	utai
證	akasi
證	syou
譏	sosi
識	siki
譚	tan
譜	hu
議	gi
議	hakari
譲	yuduru
譲	yuzu
譲	yuzuru
譲	zyou
護	mamo
護	mamoru
讃	san
讓	yuzuru
讓	zyou
谷	dani
谷	koku
谷	tani
谺	kodama
豁	katu
豆	mame
豈	ani
豊	minoru
豊	toyo
豊	yutaka
豕	inoko
豚	buta
象	katado
象	zou
豪	era
豪	gou
豪	oosutoraria
豪	suguru
豪	takesi
豪	tuyosi
豹	hyou
貂	ten
貉	muzina
貘	baku
貝	kai
貞	sada
貞	tadasi
貞	tei
負	hu
負	make
財	takara
財	zai
貢	kou
貢	mitugi
貢	mitugu
貧	hin
貪	musabo
貫	kan
貫	nuki
貫	tooru
責	seme
貰	morai
貳	hutatu
貴	ki
貴	taka
貴	takasi
貴	tatto
貴	touto
買	gai
買	kai
貸	kasi
費	hi
貼	ba
貼	ha
賀	ga
賀	ka
賂	mainai
賃	tin
賄	makanai
資	motosi
資	si
資	tasuku
賈	ka
賊	zoku
賎	sizu
賑	nigiwai
賛	san
賜	tamamono
賜	tamawa
賞	masaru
賞	syou
賢	kasiko
賢	ken
賢	masaru
賢	satosi
賢	takasi
賢	takesi
賣	u
賤	sizu
賦	hu
質	siti
質	situ
質	tadasi
質	tati
賭	kake
賭	to
賽	sai
贄	nie
贅	zei
贈	oku
贋	nise
贐	hanamuke
赤	aka
赫	aka
走	hasi
走	kakeru
走	sou
走	yuki
赳	kyuu
赳	takesi
起	oko
起	okosi
超	goe
超	susumu
超	tyou
越	etu
越	kosi
越	koyuru
趙	syou
趙	tyou
趙	zyo
趣	omomuki
足	asi
足	soku
足	ta
趾	asiyubi
跋	batu
跛	bikko
跛	tinba
跡	ato
跣	hadasi
跨	mataga
路	miti
路	ro
路	zi
跼	segukuma
踊	odori
踝	kurubusi
踞	uzukuma
踵	kakato
踵	kibisu
踵	kubisu
蹄	hidume
蹄	hizume
蹇	asinae
蹟	ato
蹲	tukubai
蹴	ke
蹶	ke
蹼	mizukaki
躁	sou
躄	izari
躍	odo
躍	yaku
身	mi
躯	karada
躯	ku
躯	mukuro
躰	karada
躾	situke
軀	karada
軀	ku
軀	mukuro
車	kuruma
車	sya
軋	kisi
軍	gun
軍	zin
軒	ken
軒	noki
軒	takasi
軛	kubiki
軟	yawa
転	ten
転	utata
転	utate
軸	ziku
軽	karo
軽	karu
軽	kei
載	no
輓	oso
輔	suke
輔	tasuku
輝	akira
輝	hikaru
輝	hui
輝	kagayaki
輝	ki
輝	teru
輩	tomogara
輩	yakara
輪	hanawa
輪	rin
輪	wa
輻	ya
輿	kosi
轂	kosiki
轅	nagae
轍	tetu
轍	wadati
轟	domeki
轟	todoro
轟	todoroki
轟	todoroku
轡	kutuwa
轡	tazuna
辛	kanoto
辛	kara
辛	karasi
辛	tura
辞	kotoba
辞	zi
辯	ben
辰	sin
辰	tatu
辰	yosi
辱	katazikena
農	minori
農	nou
農	tutomu
辷	sube
辺	atari
辺	ben
辺	hen
辺	hotori
辺	pen
辻	tuzi
込	komi
辿	tado
辿	tadoru
迂	maga
迄	made
迅	hayasi
迅	zin
迎	mukae
迎	mukai
近	kin
近	kon
近	tika
近	tikasi
近	tiko
返	kae
迩	tika
迩	tikasi
迪	miti
迪	susumu
迪	teki
迫	hasama
迫	hasami
迫	hazama
迫	sako
迫	seko
迫	sema
述	zyutu
迷	mei
迸	hotobasi
追	tui
退	sisa
退	susa
送	oku
逆	gyaku
透	too
透	tooru
途	miti
途	to
通	doori
通	hiraku
通	kayoi
通	miti
通	too
通	toori
通	tooru
通	tuu
速	baya
速	haya
速	soku
造	itaru
造	miyatuko
造	zou
連	ren
週	syuu
進	sin
進	susumu
進	tin
逵	tuzi
逸	it
逸	itu
遅	oso
遇	guu
遊	yuu
運	hakobu
運	un
遍	amane
遍	ben
遍	hen
遍	pen
過	ka
過	yogi
道	dou
道	miti
道	osamu
道	susumu
道	tooru
達	itaru
達	satosi
達	tati
達	tatu
達	tatusi
達	tooru
遙	haruka
遜	herikuda
遜	yuzu
遠	doo
遠	too
遡	sakanobo
遣	ken
遣	ya
遥	haruka
遥	you
適	teki
遮	saegi
遵	zyun
遷	sen
選	e
選	sen
選	yo
遺	noko
遼	haruka
遼	ryou
邁	susumu
還	kae
邇	tika
邇	tikasi
邑	yuu
那	da
那	na
邦	kuni
邪	yokosima
邱	kyuu
邱	tei
邸	tei
邸	yasiki
郁	aya
郁	iku
郁	ikuru
郁	kaori
郁	kaoru
郁	yuu
郎	rou
郡	gun
郡	koori
部	bu
郭	kaku
郭	kuruwa
郷	gou
郷	sato
郷	satosi
都	miyako
都	to
鄒	ruu
鄙	hina
鄭	tei
鄭	tyon
鄭	zyon
酉	naga
酉	tori
酌	syaku
配	hai
酒	sake
酒	saki
酒	syu
酒	zake
酔	yoi
酢	su
酣	takenawa
酷	hido
酷	koku
酷	mugo
酸	san
酸	su
醇	atusi
醇	zyun
醉	yo
醋	su
醜	miniku
醢	hisio
醤	hisio
醪	moromi
醬	hisio
采	sai
釈	syaku
釉	uwagusuri
釉	yuu
里	ri
里	sato
里	satosi
里	satou
重	kasane
重	omo
重	sige
重	sigeru
重	tyou
重	zyuu
野	no
量	haka
量	ryou
金	din
金	gane
金	kana
金	kane
金	kimu
金	kin
金	kogane
金	kon
金	tin
金	zin
釘	kugi
釜	kama
針	bari
針	hari
針	pari
釣	hitosi
釣	tu
釣	turi
釦	botan
鈍	don
鈍	nibu
鈍	noro
鈎	kagi
鈞	hitosi
鈴	rei
鈴	rin
鈴	suzu
鉄	kurogane
鉄	magane
鉄	tetu
鉋	kanna
鉛	namari
鉢	bati
鉢	hati
鉢	pati
鉦	kane
鉦	syou
鉱	aragane
鉱	kou
鉾	hoko
銀	gin
銀	sirogane
銃	zyuu
銅	dou
銑	zuku
銘	mei
銛	mori
銭	sen
銭	zeni
鋏	hasami
鋒	hokosaki
鋒	kissaki
鋤	suki
鋪	siki
鋭	ei
鋭	surudo
鋲	byou
鋳	i
鋸	noko
鋸	nokogiri
鋼	hagane
鋼	kou
鋼	tuyosi
錆	sabi
錐	kiri
錘	omori
錘	tumu
錠	zyou
錦	kin
錦	nisiki
錨	igari
錨	ikari
錫	seki
錫	suzu
錬	ne
錬	ren
録	roku
鍋	nabe
鍔	tuba
鍬	kuwa
鍵	kagi
鍼	hari
鎌	kama
鎖	kusari
鎚	tuti
鎧	yoroi
鎬	sinogi
鎮	mamoru
鎮	sizumi
鎹	kasugai
鏃	yaziri
鏑	kabura
鏖	minagorosi
鏝	kote
鏡	akira
鏡	kagami
鏡	kyou
鏨	tagane
鐘	kane
鐘	syou
鐙	abumi
鐙	tou
鐵	tetu
鑑	akira
鑑	kagami
鑑	kan
鑓	yari
鑪	tatara
長	masaru
長	naga
長	osa
長	osamu
長	takesi
長	tukasa
長	tyou
門	kado
門	mon
閂	kannuki
開	ake
開	hari
開	hiraki
開	hiraku
開	kai
閏	uruu
閑	kan
間	aida
間	hasama
間	hazama
間	kan
間	ken
間	ma
関	kan
関	seki
閤	gou
閥	batu
閨	neya
閻	en
闇	kura
闇	yami
闌	takenawa
關	seki
阨	sema
阪	ban
阪	saka
防	bou
阿	kuma
阿	omone
附	hu
附	tuketari
降	hu
降	kuda
限	gen
限	kagi
限	kiri
陟	noboru
院	in
陣	zin
除	nozoki
除	zyo
陥	otii
陰	in
陰	kage
陳	tien
陳	tin
陵	misasagi
陵	oka
陵	ryou
陶	sue
陶	tou
陸	kuga
陸	oka
陸	riku
険	ken
陽	akira
陽	hi
陽	hirosi
陽	minami
陽	noboru
陽	you
隅	sumi
隆	ryuu
隆	taka
隆	takasi
隆	takesi
隆	yutaka
隈	kuma
隊	tai
隋	zui
階	kai
階	kizahasi
随	zui
隕	in
隙	hima
際	giwa
際	kiwa
際	sai
障	sawa
隠	komo
隠	yo
隣	tona
隣	tonari
隻	seki
隼	hayabusa
隼	hayato
隼	syun
隼	zyun
雀	suzume
雁	gan
雁	kari
雄	o
雄	ondori
雄	osu
雄	takesi
雄	tuyosi
雄	yuu
雅	masa
雅	masaru
雅	masasi
雅	miyabi
雅	tadasi
集	atumari
集	syuu
集	taka
雇	yatoi
雉	kizi
雌	mesu
雍	yasusi
雑	zatu
雑	zou
雛	hiina
雛	hina
雛	hiyoko
離	hanare
難	gata
難	kata
難	muzukasi
難	nan
難	niku
雨	ame
雨	u
雪	setu
雪	yuki
雫	sidoke
雫	sizuku
雲	kumo
雲	un
零	rei
零	zero
雷	ikaduti
雷	ikatuti
雷	ikazuti
雷	kaminari
雷	rai
雹	hyou
電	den
震	hu
震	sin
霊	rei
霊	tama
霊	tamasii
霙	mizore
霜	simo
霜	sou
霞	kan
霞	kasumi
霧	kiri
露	arawa
露	ro
露	rosia
露	tuyu
靄	moya
青	ao
青	sei
靖	kiyosi
靖	nobu
靖	osamu
靖	sei
靖	yasu
靖	yasusi
静	sei
静	sizu
静	sizuka
静	zin
靜	sizu
靜	sizuka
非	ara
非	hi
面	men
面	omo
面	omote
面	tura
革	kawa
靭	utubo
靱	utubo
靴	gutu
靴	kutu
鞄	kaban
鞆	tomo
鞍	kura
鞐	kohaze
鞘	saya
鞠	kiku
鞠	kutuku
鞠	mari
鞭	muti
韓	han
韓	kan
韮	nira
音	ne
音	on
音	oto
韻	in
韻	kodama
響	hibiki
頁	kou
頁	peezi
頂	itadaki
頃	goro
頃	koro
項	kou
項	unazi
順	osamu
順	sunaho
順	sunao
順	zyun
頌	home
頌	syou
預	azuka
頓	tomi
領	ryou
頚	kei
頚	kubi
頬	hoho
頬	hoo
頭	atama
頭	hutori
頭	kaburi
頭	kasira
頭	koube
頭	tou
頭	tuburi
頭	tumuri
頭	zu
頰	hoho
頰	hoo
頴	ei
頸	kei
頸	kubi
頻	siki
頼	rai
頼	tanomo
頼	tayo
頼	yoriyuki
題	dai
額	gaku
額	hitai
顎	ago
顔	gan
顔	gao
顔	kanbase
顔	kao
顕	akira
顕	arawa
顕	ken
願	gan
願	negai
類	rui
類	tagui
顧	ko
顯	akira
顰	hisomi
風	huu
風	kaza
風	kaze
颪	orosi
颯	hayate
颯	sou
飛	hi
飛	tobi
飜	han
飜	huan
食	syoku
飯	i
飯	ii
飯	mesi
飲	in
飴	ame
飾	kazari
餅	moti
養	you
餌	esa
餞	hanamuke
餡	an
館	kan
館	siro
館	tate
館	tati
館	yakata
饑	hidaru
饒	nyou
饗	kyou
首	kubi
首	syu
香	ka
香	kaori
香	kaoru
香	kawori
香	kou
香	kouyatu
香	kyou
馥	huku
馨	kaori
馨	kaoru
馨	kei
馨	kyou
馬	ba
馬	ma
馬	uma
馳	hase
駄	da
駅	eki
駆	ka
駆	kakeru
駈	ka
駐	tyuu
駒	koma
駕	ga
駕	kago
駟	si
駱	raku
駿	hayao
駿	syun
駿	taka
駿	takasi
駿	tosi
騎	ki
験	gen
験	ken
験	sirusi
騙	kata
騰	aga
騰	noboru
驍	giyo
驍	takesi
驍	tuyosi
驕	ogo
驚	odoroki
驚	odoroku
骨	bone
骨	hone
骨	kotu
骸	mukuro
髄	zui
高	daka
高	ko
高	koo
高	kou
高	taka
高	takasi
髢	kamozi
髪	kami
髭	hige
髯	hige
髱	tabo
髷	mage
髻	motodori
髻	tabusa
鬆	su
鬘	katura
鬚	hige
鬢	bin
鬣	tategami
鬨	katidoki
鬨	toki
鬮	kuzi
鬱	utu
鬲	kanae
鬲	reki
鬼	oni
魁	isao
魁	kai
魁	sakigake
魂	damasii
魂	tamasii
魅	mi
魏	gi
魏	takasi
魏	uei
魔	ma
魚	gyo
魚	sakana
魚	uo
魬	hamati
鮃	hirame
鮎	ayu
鮑	awabi
鮒	huna
鮓	kurage
鮓	susi
鮖	kazika
鮟	ankou
鮠	haya
鮨	susi
鮪	maguro
鮫	same
鮭	sake
鮭	syake
鮴	gori
鮹	tako
鯀	kuzira
鯉	koi
鯊	haze
鯊	huka
鯏	asari
鯑	kazunoko
鯒	koti
鯔	bora
鯔	ina
鯖	saba
鯛	tai
鯡	nisin
鯢	sansyouuo
鯣	surume
鯨	kuzira
鯰	namazu
鯱	syati
鯱	syatihoko
鯲	dozyou
鯵	azi
鰆	sawara
鰈	karei
鰉	higai
鰊	kado
鰊	nisin
鰌	dozyou
鰍	kazika
鰐	wani
鰒	awabi
鰒	hugu
鰓	era
鰕	ebi
鰡	bora
鰤	buri
鰭	hire
鰮	iwasi
鰯	iwasi
鰰	hatahata
鰹	katuo
鰺	azi
鰻	unagi
鱈	tara
鱒	masu
鱗	uroko
鱚	kisu
鱠	namasu
鱧	hamo
鱧	yatumeunagi
鱶	huka
鱸	suzuki
鳥	tori
鳧	keri
鳩	hato
鳩	kyuu
鳰	nio
鳳	hou
鳳	oodori
鳳	ootori
鳴	mei
鳴	min
鳴	na
鳶	tobi
鳶	tonbi
鴇	toki
鴈	gan
鴈	kari
鴉	karasu
鴎	kamome
鴛	osidori
鴨	kamo
鴫	sigi
鴬	uguisu
鴻	hirosi
鴻	kou
鴻	oodori
鴻	ootori
鴿	dobato
鵙	mozu
鵜	u
鵠	kugui
鵤	ikaru
鵤	ikaruga
鵬	hou
鵬	oodori
鵬	ootori
鵯	hiyodori
鵲	kasasagi
鵺	nue
鶉	uzura
鶏	niwatori
鶏	tori
鶚	misago
鶫	tugumi
鶯	uguisu
鶲	hitaki
鶴	kaku
鶴	turu
鶸	hiwa
鷗	kamome
鷭	ban
鷲	wasi
鷹	in
鷹	taka
鷺	sagi
鷽	uso
鸛	kounotori
鹹	kara
鹿	sika
麋	ousika
麓	humoto
麗	rei
麗	urara
麟	rin
麥	mugi
麦	baku
麦	mugi
麩	husuma
麴	kouzi
麸	hu
麹	kouzi
麺	men
麻	asa
麻	o
麿	maro
黄	han
黄	huan
黄	huian
黄	ki
黄	ko
黄	kou
黍	kibi
黎	hazimu
黎	kuro
黎	rei
黐	moti
黒	guro
黒	kuro
黙	dama
黛	mayuzumi
黝	aoguro
黨	tou
黴	kabi
鼈	suppon
鼎	kanae
鼓	ko
鼓	tudumi
鼓	tuzumi
鼠	nezumi
鼬	itati
鼻	hana
鼾	ibiki
齊	hitosi
齊	ituki
齋	hitosi
齋	ituki
齡	yowa
齢	tosi
齢	yowa
齢	yowai
齣	koma
齧	kazi
龍	ryou
龍	ryuu
龍	tatu
龍	tooru
龕	gan
龜	kame
