〆	sime
埃	hokori
埋	uma
城	gusuku
城	siro
城	tati
城	zyou
埒	rati
埓	rati
域	iki
埴	hani
執	to
基	hazime
基	ki
基	moto
基	motoi
基	motosi
埼	saki
堀	hori
堂	dou
堅	kata
堅	katasi
堅	ken
堅	tuyosi
堅	zien
堆	uzutaka
堤	tutumi
堪	tama
堯	taka
堯	takasi
堰	seki
報	bou
報	hou
報	pou
場	ba
場	zyou
堵	kaki
堵	to
堺	sakae
堺	sakai
塀	hei
塁	rui
塊	katamari
塒	negura
塒	toya
塔	araragi
塔	tou
塗	mami
塗	nuri
塗	to
塙	hanawa
塙	kata
塚	duka
塚	tuka
塚	zuka
塡	hama
塩	en
塩	sio
填	hama
塵	gomi
塵	tiri
塾	zyuku
境	kyou
境	sakae
境	sakai
墓	bo
墓	haka
増	masi
増	masu
増	zou
墨	boku
墨	sumi
墳	hun
墺	ou
墾	hiraku
壁	heki
壁	kabe
壇	dan
壕	gou
壕	hori
壜	bin
士	osamu
士	si
士	tukasa
壬	mizunoe
壮	sou
壮	takesi
壮	tuyosi
壯	tuyosi
声	goe
声	koe
壱	iti
売	u
売	uri
壷	tubo
壺	tubo
壻	muko
壽	hisa
壽	hisasi
壽	kotobuki
変	hen
夏	ka
夏	natu
夕	yuu
夕	yuube
外	gai
外	hoka
外	sode
外	soto
外	to
外	tono
多	masaru
多	oo
多	ta
夜	ya
夜	yo
夜	yoru
夢	yume
大	dai
大	hazime
大	hiro
大	hirosi
大	hutosi
大	masaru
大	oo
大	takasi
大	takesi
天	ame
天	hirosi
天	takasi
天	ten
太	buto
太	dai
太	huto
太	hutori
太	hutosi
太	tai
太	takasi
太	tooru
夫	otto
央	hirosi
央	hisasi
央	nakaba
央	you
失	situ
夷	ebisu
奇	ki
奈	dai
奈	na
奉	matu
奉	tatematu
奎	kei
奏	kana
奏	kanade
奏	sou
奏	susumu
契	kei
契	tigiri
奚	kei
奢	ogo
奥	oki
奥	oku
奥	ou
奨	susumu
奨	syou
奪	datu
奬	susumu
女	onna
女	zyo
奴	yakko
奴	yatu
好	i
好	konomi
好	kou
好	yo
好	yosi
好	yosimi
如	yuki
妃	hi
妃	kisaki
妙	myou
妙	tae
妥	yasusi
妹	imoto
妹	imouto
妹	mai
妹	se
妻	tuma
妾	mekake
妾	sobame
